VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-04-24 21:49:45,2019-04-24 21:58:46,N,1,40,181,3,1.74,8,0.5,0.5,1.4,0,,0.3,10.7,1,1,0
2,2019-04-03 16:32:23,2019-04-03 17:20:19,N,5,225,216,1,8.79,32,0,0.5,0,0,,0,32.5,1,2,0
1,2019-04-02 15:41:30,2019-04-02 15:49:29,N,1,29,150,1,1.10,7,0,0.5,0,0,,0.3,7.8,2,1,0
1,2019-04-02 12:27:13,2019-04-02 12:37:36,N,1,22,67,1,1.20,8.5,0,0.5,0,0,,0.3,9.3,1,1,0
2,2019-04-18 19:08:41,2019-04-18 19:32:06,N,1,179,138,1,3.17,16,1,0.5,3.56,0,,0.3,21.36,1,1,0
2,2019-04-10 00:07:03,2019-04-10 00:16:58,N,1,188,89,1,1.70,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2019-04-01 21:23:59,2019-04-01 22:01:42,N,5,203,121,1,23.53,30,0,0,0,6.12,,0,36.12,2,2,0
2,2019-04-20 02:46:24,2019-04-20 03:00:29,N,1,112,189,2,4.58,15.5,0.5,0.5,2,0,,0.3,18.8,1,1,0
2,2019-04-26 10:30:01,2019-04-26 10:35:04,N,1,130,130,1,1.11,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,2019-04-22 09:34:33,2019-04-22 09:48:43,N,1,97,40,1,1.70,10.5,0,0.5,1,0,,0.3,12.3,1,1,0
2,2019-04-22 11:35:56,2019-04-22 11:45:53,N,1,66,49,3,1.81,8.5,0,0.5,1.86,0,,0.3,11.16,1,1,0
2,2019-04-08 13:56:32,2019-04-08 14:04:37,N,1,42,41,1,1.52,8,0,0.5,0,0,,0.3,8.8,1,1,0
1,2019-04-08 23:25:54,2019-04-08 23:33:14,N,1,244,42,1,1.70,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2019-04-04 09:22:05,2019-04-04 09:32:25,N,1,82,138,1,3.61,12.5,0,0.5,2.66,0,,0.3,15.96,1,1,0
2,2019-04-30 19:24:45,2019-04-30 19:31:11,N,1,41,74,1,.79,6,1,0.5,1.56,0,,0.3,9.36,1,1,0
2,2019-04-24 18:17:41,2019-04-24 19:12:21,N,5,22,92,1,24.03,70.76,0,0.5,0,0,,0,71.26,2,2,0
2,2019-04-27 15:43:34,2019-04-27 15:51:52,N,1,42,75,1,1.48,7.5,0,0.5,2.49,0,,0.3,10.79,1,1,0
2,2019-04-20 10:10:02,2019-04-20 10:24:07,N,1,75,75,2,2.13,11,0,0.5,3.64,0,,0.3,18.19,1,1,2.75
2,2019-04-16 11:04:32,2019-04-16 11:06:21,N,1,43,236,1,.36,3.5,0,0.5,1.06,0,,0.3,8.11,1,1,2.75
2,2019-04-19 17:46:11,2019-04-19 18:08:46,N,1,74,238,6,2.93,15.5,1,0.5,6.02,0,,0.3,26.07,1,1,2.75
2,2019-04-11 21:12:30,2019-04-11 21:18:35,N,1,43,263,5,.94,6,0.5,0.5,2.01,0,,0.3,12.06,1,1,2.75
2,2019-04-04 20:12:13,2019-04-04 20:19:18,N,1,41,74,1,.99,6.5,0.5,0.5,0,0,,0.3,7.8,1,1,0
2,2019-04-05 18:38:55,2019-04-05 18:43:56,N,1,97,65,1,.79,5,0.5,0.5,1,0,,0.3,7.3,1,1,0
2,2019-04-16 14:34:23,2019-04-16 14:40:59,N,1,75,41,1,1.20,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,2019-04-22 00:40:27,2019-04-22 00:53:48,N,1,74,186,1,4.75,15.5,0.5,0.5,1.01,0,,0.3,20.56,1,1,2.75
1,2019-04-16 12:09:35,2019-04-16 12:45:36,N,1,14,33,1,5.40,27,0,0.5,0,0,,0.3,27.8,1,1,0
2,2019-04-03 21:29:35,2019-04-03 21:33:02,N,1,166,41,1,.33,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2019-04-16 06:34:12,2019-04-16 06:45:34,N,1,41,239,1,2.51,11,0,0.5,3.45,0,,0.3,18,1,1,2.75
2,2019-04-03 09:17:03,2019-04-03 10:24:28,N,5,86,75,1,23.28,60.25,0,0.5,0,6.12,,0,66.87,1,2,0
2,2019-04-04 12:35:17,2019-04-04 13:21:29,N,1,41,186,1,5.97,30.5,0,0.5,4.5,0,,0.3,38.55,1,1,2.75
2,2019-04-16 02:15:51,2019-04-16 02:29:55,N,1,179,226,1,2.56,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,2019-04-30 18:48:21,2019-04-30 18:58:44,N,1,43,263,1,1.05,8,1,0.5,2.51,0,,0.3,15.06,1,1,2.75
2,2019-04-06 08:29:40,2019-04-06 08:34:04,N,1,75,41,1,.98,5.5,0,0.5,0,0,,0.3,6.3,1,1,0
2,2019-04-29 03:12:29,2019-04-29 03:19:04,N,1,181,106,1,1.45,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
1,2019-04-02 06:59:02,2019-04-02 07:09:00,N,1,82,157,1,1.60,8,0,0.5,0,0,,0.3,8.8,2,1,0
2,2019-04-17 11:23:57,2019-04-17 11:28:55,N,1,152,41,1,.86,5.5,0,0.5,0,0,,0.3,6.3,2,1,0
2,2019-04-16 18:05:36,2019-04-16 18:13:19,N,1,7,7,1,1.07,6.5,1,0.5,0,0,,0.3,8.3,2,1,0
1,2019-04-27 00:25:54,2019-04-27 00:29:23,N,1,17,225,1,.60,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2019-04-16 07:24:30,2019-04-16 07:30:22,N,1,42,152,1,.83,6,0,0.5,1.36,0,,0.3,8.16,1,1,0
2,2019-04-02 02:34:49,2019-04-02 03:15:44,N,1,226,260,1,6.28,27.5,0.5,0.5,0,0,,0.3,28.8,2,1,0
2,2019-04-19 09:21:08,2019-04-19 09:22:37,N,1,24,151,1,.29,3.5,0,0.5,0.08,0,,0.3,4.38,1,1,0
2,2019-04-12 17:42:10,2019-04-12 17:52:04,N,1,95,134,1,1.33,8.5,1,0.5,3.09,0,,0.3,13.39,1,1,0
2,2019-04-28 13:17:44,2019-04-28 13:27:13,N,1,181,49,1,1.53,8,0,0.5,1.76,0,,0.3,10.56,1,1,0
2,2019-04-09 21:57:38,2019-04-09 22:03:48,N,1,74,41,1,1.03,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2019-04-03 18:46:56,2019-04-03 19:00:24,N,1,74,42,2,2.19,11,1,0.5,0,0,,0.3,12.8,2,1,0
1,2019-04-13 16:33:57,2019-04-13 16:51:20,N,1,247,262,2,3.60,14.5,2.75,0.5,4.5,0,,0.3,22.55,1,1,2.75
2,2019-04-03 14:43:37,2019-04-03 14:52:17,N,1,25,33,1,.81,7,0,0.5,0,0,,0.3,7.8,1,1,0
2,2019-04-05 07:50:06,2019-04-05 08:03:10,N,1,41,74,1,1.62,10.5,0,0.5,0,0,,0.3,11.3,1,1,0
2,2019-04-13 20:19:57,2019-04-13 20:30:58,N,1,260,129,1,1.46,8.5,0.5,0.5,2.94,0,,0.3,12.74,1,1,0
1,2019-04-27 10:03:09,2019-04-27 10:22:29,N,1,173,135,2,6.10,20.5,0,0.5,3,0,,0.3,24.3,1,1,0
2,2019-04-02 00:13:30,2019-04-02 00:25:08,N,1,41,168,1,2.59,11,0.5,0.5,2.46,0,,0.3,14.76,1,1,0
2,2019-04-13 12:44:17,2019-04-13 12:59:25,N,1,41,239,1,2.51,12,0,0.5,2.53,0,,0.3,18.08,1,1,2.75
2,2019-04-13 13:06:44,2019-04-13 13:21:00,N,1,95,82,3,2.18,12,0,0.5,0,0,,0.3,12.8,2,1,0
2,2019-04-06 22:41:18,2019-04-06 22:51:55,N,1,95,197,1,2.52,10.5,0.5,0.5,2.36,0,,0.3,14.16,1,1,0
2,2019-04-01 11:25:00,2019-04-01 11:25:00,N,5,264,264,1,.00,10,0,0,0,0,,0,10,1,1,0
2,2019-04-09 00:16:26,2019-04-09 00:29:09,N,1,112,129,1,4.55,15.5,0.5,0.5,0,0,,0.3,16.8,2,1,0
2,2019-04-14 00:29:38,2019-04-14 00:33:07,N,1,181,97,1,.69,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2019-04-03 14:00:39,2019-04-03 14:06:38,N,1,166,166,1,.97,6,0,0.5,1.36,0,,0.3,8.16,1,1,0
2,2019-04-23 14:43:30,2019-04-23 15:05:31,N,1,95,173,1,3.19,16,0,0.5,0,0,,0.3,16.8,2,1,0
2,2019-04-05 19:03:24,2019-04-05 19:23:06,N,1,95,132,1,7.42,22,1,0.5,5.95,0,,0.3,29.75,1,1,0
2,2019-04-08 07:02:50,2019-04-08 07:25:41,N,1,76,72,1,3.40,16.5,0,0.5,0,0,,0.3,17.3,1,1,0
2,2019-04-01 07:54:26,2019-04-01 09:02:35,N,1,91,107,6,13.60,49.5,0,0.5,0,0,,0.3,50.3,1,1,0
2,2019-04-07 21:14:50,2019-04-07 21:24:49,N,1,82,223,2,4.29,14,0.5,0.5,0,0,,0.3,15.3,2,1,0
2,2019-04-26 00:10:00,2019-04-26 00:15:29,N,1,42,41,1,1.14,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2019-04-26 15:15:24,2019-04-26 15:25:46,N,1,43,263,1,.84,7.5,0,0.5,2.21,0,,0.3,13.26,1,1,2.75
2,2019-04-28 21:14:22,2019-04-28 21:29:04,N,1,49,61,1,2.65,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,2019-04-05 09:11:00,2019-04-05 09:11:00,N,5,264,264,1,.00,10,0,0,0,0,,0,10,1,1,0
2,2019-04-29 16:16:09,2019-04-29 16:20:31,N,1,181,181,1,.67,5,1,0.5,1.7,0,,0.3,8.5,1,1,0
2,2019-04-01 09:17:31,2019-04-01 10:25:27,N,5,198,261,1,7.01,24.65,0,0.5,0,0,,0,25.15,1,2,0
2,2019-04-11 14:54:07,2019-04-11 15:06:25,N,1,25,181,1,1.98,10,0,0.5,2.16,0,,0.3,12.96,1,1,0
2,2019-04-14 04:14:35,2019-04-14 04:25:46,N,1,129,260,1,1.52,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2019-04-27 06:53:29,2019-04-27 07:16:12,N,2,42,132,1,18.54,52,0,0.5,5,6.12,,0.3,63.92,1,1,0
1,2019-04-01 19:31:08,2019-04-01 19:46:37,N,1,82,260,2,2.60,12.5,1,0.5,0,0,,0.3,14.3,2,1,0
2,2019-04-23 19:51:27,2019-04-23 19:56:52,N,1,255,80,1,.74,5.5,1,0.5,0,0,,0.3,7.3,2,1,0
2,2019-04-09 08:55:06,2019-04-09 09:12:25,N,1,41,213,1,6.51,20.5,0,0.5,4.26,0,,0.3,25.56,1,1,0
2,2019-04-05 18:25:49,2019-04-05 18:50:44,N,1,33,67,1,7.60,24,1,0.5,3.2,0,,0.3,29,1,1,0
1,2019-04-07 09:58:58,2019-04-07 10:07:39,N,1,213,213,1,1.80,8,0,0.5,0,0,,0.3,8.8,1,1,0
