VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-06-13 16:08:45,2020-06-13 16:14:33,1,1.03,1,N,79,4,2,6,0,0.5,0,0,0.3,9.3,2.5
2,2020-06-23 14:56:11,2020-06-23 15:05:02,1,1.63,1,N,170,237,2,7.5,0,0.5,0,0,0.3,10.8,2.5
,2020-06-02 15:09:00,2020-06-02 15:19:00,,2.60,,,232,261,,18.25,0,0.5,2.75,0,0.3,21.8,0
2,2020-06-09 16:50:12,2020-06-09 16:57:10,1,1.69,1,N,143,238,1,7.5,1,0.5,0,0,0.3,11.8,2.5
1,2020-06-17 14:36:14,2020-06-17 14:38:51,1,.60,1,N,164,100,2,4,2.5,0.5,0,0,0.3,7.3,2.5
2,2020-06-02 01:36:03,2020-06-02 01:54:09,1,9.96,1,N,137,257,1,28,0.5,0.5,3.18,0,0.3,36.93,2.5
2,2020-06-24 19:18:07,2020-06-24 19:21:33,1,1.52,1,N,231,87,4,-6,-1,-0.5,0,0,-0.3,-10.3,-2.5
1,2020-06-30 12:36:35,2020-06-30 12:40:52,4,.50,1,N,43,236,1,4.5,2.5,0.5,1.55,0,0.3,9.35,2.5
1,2020-06-01 17:36:21,2020-06-01 17:48:16,1,3.40,1,N,137,262,1,12,3.5,0.5,1.3,0,0.3,17.6,2.5
2,2020-06-01 17:04:19,2020-06-01 17:08:27,1,.91,1,N,142,163,2,5.5,1,0.5,0,0,0.3,9.8,2.5
2,2020-06-18 15:29:35,2020-06-18 15:32:19,1,.64,1,N,114,234,1,4.5,0,0.5,1.95,0,0.3,9.75,2.5
2,2020-06-25 21:48:46,2020-06-25 22:26:26,1,19.19,2,N,132,249,1,52,0,0.5,11.06,0,0.3,66.36,2.5
1,2020-06-09 21:03:14,2020-06-09 21:13:04,1,3.50,1,N,262,168,2,12.5,3,0.5,0,0,0.3,16.3,2.5
2,2020-06-29 02:58:38,2020-06-29 02:58:43,1,.01,1,N,186,264,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2020-06-26 06:53:04,2020-06-26 07:07:55,1,2.35,1,N,238,42,2,12,0,0.5,0,0,0.3,12.8,0
1,2020-06-10 00:01:03,2020-06-10 00:12:10,1,2.10,1,N,170,68,2,10,3,0.5,0,0,0.3,13.8,2.5
1,2020-06-15 10:51:12,2020-06-15 11:09:28,1,5.30,1,N,142,261,1,18,2.5,0.5,3.7,0,0.3,25,2.5
1,2020-06-17 13:03:35,2020-06-17 13:10:28,1,.90,1,N,233,161,1,6,2.5,0.5,1,0,0.3,10.3,2.5
2,2020-06-13 15:31:26,2020-06-13 15:36:44,5,1.30,1,N,236,237,1,6.5,0,0.5,3.43,0,0.3,13.23,2.5
2,2020-06-11 08:09:58,2020-06-11 08:16:32,1,1.22,1,N,186,162,1,6.5,0,0.5,1.96,0,0.3,11.76,2.5
2,2020-06-25 18:38:37,2020-06-25 18:48:35,2,1.14,1,N,141,43,2,8,1,0.5,0,0,0.3,12.3,2.5
2,2020-06-21 19:08:59,2020-06-21 19:18:04,1,2.18,1,N,186,186,1,9,0,0.5,2,0,0.3,14.3,2.5
2,2020-06-03 06:03:55,2020-06-03 06:12:48,6,3.06,1,N,186,236,1,10.5,0,0.5,1,0,0.3,14.8,2.5
1,2020-06-17 15:05:03,2020-06-17 15:09:20,1,.80,1,N,143,239,1,5,2.5,0.5,0,0,0.3,8.3,2.5
1,2020-06-12 07:19:03,2020-06-12 07:23:42,0,1.20,1,N,48,161,1,6,2.5,0.5,1.85,0,0.3,11.15,2.5
2,2020-06-16 09:11:22,2020-06-16 09:15:18,5,.75,1,N,263,75,1,5,0,0.5,1,0,0.3,9.3,2.5
1,2020-06-23 14:19:12,2020-06-23 14:26:30,1,1.00,1,N,233,100,1,6.5,2.5,0.5,1,0,0.3,10.8,2.5
2,2020-06-10 06:36:42,2020-06-10 06:37:31,1,.00,1,N,138,138,2,2.5,0,0.5,0,0,0.3,3.3,0
,2020-06-01 05:09:13,2020-06-01 05:56:25,,35.28,,,119,23,,67.78,0,0.5,0,23.5,0.3,92.08,0
2,2020-06-17 11:42:30,2020-06-17 11:49:05,1,.97,1,N,237,262,1,6,0,0.5,1.5,0,0.3,10.8,2.5
1,2020-06-06 19:07:16,2020-06-06 19:14:20,1,1.70,1,Y,236,238,1,8,2.5,0.5,0,0,0.3,11.3,2.5
2,2020-06-08 06:17:42,2020-06-08 06:35:01,1,7.05,1,N,162,97,2,22.5,0,0.5,0,0,0.3,25.8,2.5
2,2020-06-25 18:07:37,2020-06-25 18:15:41,2,1.18,1,N,230,229,2,7,1,0.5,0,0,0.3,11.3,2.5
1,2020-06-16 08:47:39,2020-06-16 08:54:48,1,.60,1,N,75,236,2,6,2.5,0.5,0,0,0.3,9.3,2.5
2,2020-06-29 18:07:45,2020-06-29 18:12:50,1,1.04,1,N,100,48,1,6,1,0.5,3.09,0,0.3,13.39,2.5
2,2020-06-09 07:09:32,2020-06-09 07:17:59,1,1.95,1,N,79,161,1,9,0,0.5,3.08,0,0.3,15.38,2.5
1,2020-06-14 17:05:49,2020-06-14 17:08:25,1,.60,1,N,90,68,1,4,2.5,0.5,1.45,0,0.3,8.75,2.5
2,2020-06-22 16:17:53,2020-06-22 16:25:05,1,1.20,1,N,75,74,2,7,1,0.5,0,0,0.3,8.8,0
2,2020-06-27 09:20:32,2020-06-27 09:29:48,1,2.58,1,N,262,162,1,10,0,0.5,3.32,0,0.3,16.62,2.5
